,ID,layout_id,scenario_id,order_inflow_15m,unique_sku_15m,avg_items_per_order,urgent_order_ratio,heavy_item_ratio,cold_chain_ratio,sku_concentration,robot_active,robot_idle,robot_charging,robot_utilization,avg_trip_distance,task_reassign_15m,battery_mean,battery_std,low_battery_ratio,charge_queue_length,avg_charge_wait,congestion_score,max_zone_density,blocked_path_15m,near_collision_15m,fault_count_15m,avg_recovery_time,replenishment_overlap,pack_utilization,manual_override_ratio,avg_delay_minutes_next_30m,warehouse_temp_avg,humidity_pct,day_of_week,external_temp_c,wind_speed_kmh,precipitation_mm,lighting_level_lux,ambient_noise_db,floor_vibration_idx,return_order_ratio,air_quality_idx,co2_level_ppm,hvac_power_kw,wms_response_time_ms,scanner_error_rate,wifi_signal_db,network_latency_ms,worker_avg_tenure_months,safety_score_monthly,label_print_queue,barcode_read_success_rate,ups_battery_pct,lighting_zone_variance,shift_hour,staff_on_floor,forklift_active_count,loading_dock_util,conveyor_speed_mps,prev_shift_volume,avg_package_weight_kg,inventory_turnover_rate,daily_forecast_accuracy,order_wave_count,pick_list_length_avg,express_lane_util,bulk_order_ratio,staging_area_util,cold_storage_temp_c,pallet_wrap_time_min,fleet_age_months_avg,maintenance_schedule_score,robot_firmware_update_days,avg_idle_duration_min,charge_efficiency_pct,battery_cycle_count_avg,agv_task_success_rate,robot_calibration_score,aisle_traffic_score,zone_temp_variance,path_optimization_score,intersection_wait_time_avg,storage_density_pct,vertical_utilization,racking_height_avg_m,cross_dock_ratio,packaging_material_cost,quality_check_rate,outbound_truck_wait_min,dock_to_stock_hours,kpi_otd_pct,backorder_ratio,shift_handover_delay_min,sort_accuracy_pct
187922,TRAIN_187922,WH_159,SC_07099,,9.0,2.0,,0.0,0.0,0.2002,2,16,2,0.1,20.03,,50.48,18.59,0.05,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0833,0.098,0.5598339030768026,17.59,20.0,1.0,0.8,7.9,13.5,,66.8,0.3334,0.0471,63.7,1142.0,,50.0,0.0403,-42.9,25.3,87.0,60.0,9.0,0.9924,80.0,0.4472,6.0,6.0,1.0,0.2219,2.5,1940.0,8.84,1.46,0.8616,14.0,10.44,0.3911,,0.0938,-10.1,1.34,47.2,69.8,12.2,5.65,76.8,97.0,0.8668,,48.1,2.61,87.9,0.95,,0.8057,3.83,0.1129,5.68,0.0784,11.2,4.23,98.9,0.1094,4.93,97.72
78578,TRAIN_078578,WH_175,SC_05864,74.0,132.0,,0.027,0.0676,,0.3991,20,24,0,0.4545,,0.0,,21.36,0.0455,,0.0,27.35,0.0909,1.0,2.0,0.0,0.0,,1.0,0.0244,34.96557709953424,20.08,20.0,1.0,26.9,14.1,28.8,711.0,67.4,0.4323,0.15,,526.0,,50.0,0.0129,-47.2,18.1,61.0,73.7,,,59.4,0.6232,,31.0,5.0,0.3042,1.78,1696.0,7.01,2.44,0.8976,17.0,6.54,0.1122,0.2337,0.3398,-22.7,,45.0,,58.8,5.1,84.2,292.0,0.927,99.5,20.1,2.31,79.9,5.27,0.8984,0.7397,5.58,0.3113,7.69,0.1217,24.7,5.88,91.4,0.03,3.96,97.62
184099,TRAIN_184099,WH_073,SC_02252,,220.0,2.58,0.2154,0.1115,0.0346,0.6619,44,13,6,0.6984,43.16,0.0,52.3,17.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658,1.0,0.099,0.0,22.59,80.0,,30.1,0.0,17.1,428.0,69.8,0.6737,0.1107,7.4,536.0,15.1,173.0,0.0236,-34.5,19.3,18.0,84.7,,0.9268,97.4,0.4783,4.0,26.0,8.0,,0.58,3459.0,6.29,4.03,0.8597,25.0,12.4,0.7531,0.0489,0.6749,,2.05,29.5,93.8,,4.98,96.6,292.0,0.8897,,24.2,3.09,74.9,5.36,0.5103,,5.46,0.1183,7.89,,21.0,10.01,81.2,0.1604,2.02,97.17
229790,TRAIN_229790,WH_149,SC_01528,26.0,120.0,6.65,0.0,,0.0385,0.2842,7,39,0,0.1522,,0.0,55.01,18.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0855,0.062,5.898935571754452,21.84,52.2,4.0,17.8,35.1,2.3,217.0,55.4,0.0159,0.1218,45.2,604.0,27.1,,0.05,,23.7,9.0,60.0,7.0,0.9639,50.0,,9.0,,4.0,0.4984,2.56,655.0,5.95,1.72,0.8342,9.0,15.95,0.1188,0.1783,0.3241,,2.06,46.5,,46.4,11.99,91.7,80.0,0.9551,76.9,53.1,1.36,76.6,2.15,0.572,0.6095,,0.2769,6.47,0.0321,10.3,1.0,98.2,0.0396,9.75,98.66
23128,TRAIN_023128,WH_276,SC_02495,58.0,53.0,1.67,,0.1207,0.069,0.2626,8,45,0,0.1509,34.53,0.0,72.24,16.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.3021,,4.927854046925534,25.82,20.1,1.0,0.2,30.8,19.3,528.0,75.5,0.7022,0.0828,95.3,510.0,59.9,155.0,0.0377,-80.0,29.1,103.0,90.2,4.0,0.9369,80.7,,6.0,7.0,,0.4493,1.4,2703.0,4.14,2.18,0.8765,20.0,8.66,0.2008,0.3353,0.5806,-18.8,,,82.9,49.8,8.69,,207.0,0.9372,85.8,5.5,0.98,68.8,4.27,,0.3637,4.11,0.3914,4.53,0.1326,5.3,,83.8,0.0443,3.89,97.26
87109,TRAIN_087109,WH_012,SC_04372,29.0,84.0,6.9,0.0345,0.3103,0.1034,,6,30,0,0.1667,6.16,0.0,66.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4265,0.0322,6.859982949108589,,22.7,2.0,28.1,10.7,3.0,200.0,62.5,0.92,,13.7,1048.0,17.7,323.0,0.01,-50.2,31.5,84.0,,,,,0.3973,4.0,29.0,3.0,0.029,1.83,2986.0,9.54,2.65,0.7449,19.0,8.59,0.2883,,0.4148,-7.4,6.22,22.1,74.0,27.3,,88.9,,0.9466,100.0,13.7,0.7,81.8,6.0,0.7953,0.4794,6.03,,7.31,0.0581,11.6,7.26,95.6,0.133,6.9,96.8
132517,TRAIN_132517,WH_031,SC_04944,165.0,,2.4,0.2061,0.2788,0.2242,0.6856,31,24,1,0.5536,21.66,0.0,53.96,17.66,0.0179,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0542,14.420502947134027,20.93,56.0,6.0,29.5,14.7,22.0,384.0,73.5,0.1778,0.0564,11.3,718.0,40.9,376.0,0.035,-54.1,33.7,64.0,,13.0,0.9558,77.8,0.6909,12.0,28.0,7.0,0.2544,0.82,1219.0,12.58,2.36,0.8673,24.0,9.68,0.2288,0.0265,0.2288,-6.1,2.37,15.8,99.6,40.0,4.67,,135.0,0.9054,95.1,34.2,0.49,81.5,1.83,0.4504,0.7115,3.81,0.2872,9.3,0.174,29.7,9.58,77.8,0.123,1.33,99.97
136993,TRAIN_136993,WH_174,SC_05105,49.0,28.0,1.31,0.0,0.1837,0.0204,0.4284,9,69,0,0.1154,35.97,0.0,,19.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.3427,0.0392,2.6867228299897823,27.92,,1.0,28.7,0.0,22.8,549.0,72.2,0.2748,0.004,88.9,641.0,44.8,450.0,0.0443,-60.0,1.0,47.0,89.7,1.0,,63.9,0.5448,17.0,8.0,1.0,0.3118,1.59,3122.0,10.23,1.34,,4.0,1.1,0.4579,0.2642,0.5959,-18.6,4.3,30.4,77.5,50.8,14.52,87.8,262.0,0.8628,86.1,24.6,2.06,76.3,2.9,,0.5239,5.02,,3.86,0.026,4.6,5.33,88.8,0.1038,7.68,97.45
131135,TRAIN_131135,WH_123,SC_05609,103.0,53.0,1.31,0.0388,0.1359,,0.4313,18,11,5,0.5294,31.05,,54.32,,0.0588,2.0,7.5,0.0,0.0,0.0,,0.0,0.0,0.0224,0.6688,0.0916,8.894490373741691,15.22,51.6,4.0,19.9,39.0,0.0,665.0,82.1,0.1633,0.0104,58.4,777.0,,426.0,0.0495,-75.2,50.0,64.0,62.3,4.0,0.9436,100.0,0.5294,10.0,28.0,1.0,0.3367,1.19,1517.0,5.35,1.67,0.6365,4.0,3.8,0.5127,0.2552,0.5027,,3.79,39.3,70.5,33.9,5.49,86.6,62.0,,92.9,25.8,,79.3,2.9,,0.6479,5.01,0.29,,0.1654,25.5,12.9,90.2,,8.14,100.0
178547,TRAIN_178547,WH_285,SC_05295,21.0,12.0,1.52,0.1429,0.0952,0.2381,0.4901,6,50,0,0.1071,24.37,0.0,54.57,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.075,0.0321,1.547991972648481,15.01,80.0,5.0,37.3,38.7,16.8,,79.2,0.5666,,5.2,,67.9,,0.0265,-63.2,,6.0,87.2,9.0,,81.1,0.1877,11.0,11.0,3.0,0.2149,,483.0,,1.5,0.9161,1.0,,0.5143,0.078,0.2314,-10.4,1.35,,76.9,14.2,8.61,97.0,136.0,,70.3,20.5,3.25,72.6,,0.5931,0.6582,5.58,0.2558,5.47,0.0664,6.7,,88.8,0.1565,4.1,
59919,TRAIN_059919,WH_140,SC_05909,48.0,248.0,,0.1042,0.1667,0.0208,0.3242,5,2,30,0.1351,59.25,0.0,15.68,27.25,,27.0,13.85,,,1.0,,0.0,0.0,0.0,0.1404,0.0532,28.5048557162225,30.0,30.2,1.0,,46.0,9.7,349.0,69.9,0.3579,0.0789,92.6,1043.0,34.6,369.0,0.0447,,29.1,17.0,,6.0,0.9401,50.0,0.3321,14.0,16.0,4.0,0.389,1.98,2129.0,9.18,1.39,0.8177,2.0,14.11,0.4524,0.1467,0.4768,-4.8,6.1,56.9,82.1,30.0,,90.4,,0.908,77.7,26.9,3.14,64.0,3.34,0.7386,0.7891,5.88,,2.22,0.0517,12.7,6.58,97.4,0.0939,6.13,96.9
19021,TRAIN_019021,WH_212,SC_01353,362.0,402.0,3.55,,0.1961,0.1878,0.56,6,0,64,0.0857,55.83,0.0,10.13,19.05,0.9,30.0,30.0,9.62,0.0571,0.0,1.0,0.0,0.0,0.0879,0.0526,0.0359,37.56927257096924,19.23,20.0,3.0,20.9,19.9,24.3,288.0,55.4,0.8838,,,793.0,68.5,,0.0199,-72.9,40.1,70.0,64.6,15.0,0.9298,87.5,1.0,13.0,33.0,,0.9584,2.45,5000.0,5.79,2.24,0.825,30.0,14.56,0.7023,0.3094,,-18.8,5.45,25.9,76.5,,3.25,76.9,342.0,0.8737,73.1,34.5,0.92,80.0,4.1,,0.5542,4.21,0.133,5.95,0.087,6.2,2.91,94.6,0.1666,1.85,98.84
131932,TRAIN_131932,WH_025,SC_04076,4.0,24.0,8.5,0.0,0.0,0.0,0.1575,2,27,0,0.069,35.12,0.0,66.03,15.55,0.0,0.0,0.0,2.45,0.0345,0.0,0.0,0.0,0.0,,0.0417,0.0293,8.669864450387017,29.34,55.1,4.0,31.3,21.1,25.8,,53.4,,,13.0,832.0,15.3,404.0,,-72.4,27.2,64.0,,8.0,0.9221,82.7,0.7954,0.0,22.0,3.0,0.2816,2.41,,4.66,1.19,0.7059,10.0,10.42,0.3267,0.3583,0.4974,-20.5,7.13,,97.3,18.3,9.37,85.6,,0.9263,78.3,,0.54,81.1,1.62,0.6932,0.6293,3.55,0.1605,4.11,0.0484,,10.0,91.1,0.0409,7.64,93.5
20627,TRAIN_020627,WH_162,SC_01087,5.0,,2.2,,0.4,0.0,0.2111,1,55,0,0.0179,51.27,0.0,70.36,15.79,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0329,0.0557,1.8844716810479156,24.71,68.6,2.0,38.6,42.3,19.6,757.0,67.9,0.0,0.0085,,748.0,80.0,,,-35.2,28.0,63.0,77.2,2.0,0.9417,73.2,,3.0,,2.0,0.354,2.68,2181.0,11.31,2.19,0.8499,14.0,4.4,0.2588,0.3471,0.4354,-19.8,,18.0,96.9,50.4,13.14,84.6,200.0,0.8513,75.4,,0.94,,,0.5681,0.7209,7.21,0.3574,1.06,0.1266,1.4,11.07,92.9,0.0987,5.3,
183797,TRAIN_183797,WH_294,SC_09407,5.0,9.0,2.8,0.0,0.2,0.2,0.1315,1,31,0,0.0312,37.91,0.0,,16.89,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0995,0.88693977400796,,68.7,4.0,,25.1,16.4,517.0,,0.0,0.0,62.4,565.0,11.8,163.0,0.0232,,46.0,6.0,66.8,7.0,0.9037,89.8,0.7539,4.0,6.0,3.0,,2.48,1870.0,8.31,2.59,0.8043,11.0,6.49,0.4409,0.33,0.3243,-5.8,5.38,32.2,91.3,9.9,2.48,80.5,,0.8598,80.1,15.5,2.88,68.4,0.84,0.8619,0.6811,7.56,,4.17,0.0727,6.2,9.6,87.5,0.0959,,95.75
177475,TRAIN_177475,WH_063,SC_08569,,305.0,4.85,,0.1034,0.0948,0.4,20,14,2,0.5556,64.42,0.0,65.95,17.55,0.0,0.0,0.0,29.07,0.2778,2.0,3.0,2.0,1.25,0.1275,,0.0428,22.123781634183963,26.54,75.9,3.0,13.2,8.4,21.4,530.0,84.6,0.1812,0.0359,75.2,944.0,63.2,215.0,0.0282,-73.3,29.5,31.0,79.9,2.0,0.9706,67.8,0.2522,16.0,39.0,2.0,0.5385,3.0,2429.0,5.79,3.4,0.7705,,8.05,0.3332,0.3029,0.7148,-20.7,1.54,46.0,89.1,21.5,4.4,81.4,199.0,0.9422,93.3,66.6,,81.5,6.86,0.5029,0.5268,9.4,,5.27,0.0583,6.8,10.66,79.0,0.1428,7.46,95.56
214109,TRAIN_214109,WH_049,SC_02595,85.0,158.0,4.36,0.0118,0.1647,0.0588,0.4305,17,11,0,0.6071,79.73,,62.68,17.84,0.0,0.0,0.0,3.33,0.0714,,1.0,0.0,0.0,0.0038,1.0,0.0723,116.61929378286231,20.72,71.0,2.0,5.2,7.2,13.2,770.0,64.9,0.5927,,63.9,404.0,43.0,50.0,,-36.5,18.8,,92.6,6.0,0.9681,85.3,0.6428,4.0,22.0,4.0,0.165,,2861.0,10.36,,0.842,16.0,9.93,0.0399,0.2617,0.3734,-7.2,4.65,25.8,88.8,,7.59,92.5,178.0,0.8843,66.9,52.9,3.46,,5.26,,0.5963,3.28,0.2077,5.79,0.124,30.0,4.94,88.6,,2.5,98.66
140821,TRAIN_140821,WH_223,SC_02969,202.0,76.0,2.52,0.2723,0.2475,0.1386,0.788,29,35,0,0.4531,,0.0,53.85,15.82,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0659,1.0,,4.469274232436825,21.93,20.0,3.0,31.7,29.5,3.9,227.0,,0.3715,0.008,,,,50.0,0.0311,-40.3,19.7,,93.4,2.0,0.9617,50.0,0.2162,,26.0,4.0,0.8738,1.39,2720.0,,4.19,0.5667,17.0,10.17,0.5118,0.0437,0.4473,-19.8,4.4,15.5,100.0,34.6,7.22,81.1,258.0,0.9203,87.9,0.0,,77.9,0.18,0.4996,0.5577,7.65,0.2361,9.95,0.1151,21.0,7.21,85.4,0.1189,0.0,99.47
108501,TRAIN_108501,WH_040,SC_07849,,147.0,1.81,0.088,0.192,0.064,0.2727,17,30,0,0.3617,31.07,0.0,66.43,16.24,0.0,0.0,0.0,16.77,,0.0,0.0,0.0,0.0,0.062,0.3241,0.0943,17.074975604135346,27.49,47.6,3.0,22.1,21.7,20.2,721.0,,0.4307,0.0925,68.5,601.0,26.0,148.0,0.0178,-73.4,43.4,72.0,86.4,14.0,0.9322,81.1,0.5378,7.0,11.0,4.0,0.174,2.0,3092.0,6.77,0.93,0.9137,6.0,7.99,0.5412,0.3268,0.6766,-9.6,3.04,33.1,84.4,33.3,7.06,85.9,53.0,0.9352,91.9,7.5,,80.5,5.6,0.9801,0.69,9.8,,4.57,0.1329,17.7,14.59,77.7,0.1321,6.23,97.32
136726,TRAIN_136726,WH_031,SC_04943,33.0,89.0,8.12,0.0606,0.1212,0.1818,0.4702,10,46,0,0.1786,,0.0,68.02,16.99,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074,,3.133394857882476,25.72,48.5,0.0,28.7,2.5,,339.0,71.7,0.3745,0.15,22.6,1173.0,38.0,385.0,0.0124,-32.3,38.1,68.0,81.4,1.0,0.9175,63.4,1.0,,24.0,,0.2459,2.55,1731.0,3.14,2.22,,12.0,14.53,0.189,0.2722,0.2352,,2.74,32.5,82.5,7.2,11.46,,232.0,0.9508,67.2,47.5,0.28,67.7,5.25,0.5423,,8.41,0.2143,5.17,0.027,16.6,12.32,,0.0373,0.0,97.11
31082,TRAIN_031082,WH_167,SC_09848,134.0,46.0,1.36,0.2463,0.1567,0.0075,0.6498,20,13,0,0.6061,31.18,0.0,,16.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,,0.0897,8.717653551120543,,44.3,,22.8,41.1,,468.0,57.8,0.7092,0.15,34.0,989.0,,500.0,0.0057,,16.1,,73.8,15.0,0.9262,79.3,0.9634,5.0,40.0,2.0,0.5802,0.98,2069.0,5.07,1.92,0.7103,18.0,,0.6032,0.2155,0.5437,,2.61,9.5,74.4,50.8,5.03,79.8,124.0,0.8824,,29.4,1.0,74.5,6.0,0.8081,0.5579,8.17,0.4483,7.97,,,6.41,86.1,0.1759,3.09,100.0
235615,TRAIN_235615,WH_229,SC_02393,3.0,6.0,4.0,0.0,,0.0,0.1445,1,25,0,0.0385,75.08,,64.54,17.32,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0502,0.05,0.0434,0.2774829291496066,,23.2,2.0,11.9,9.4,18.6,569.0,72.7,0.0542,0.0242,,400.0,31.2,421.0,0.0157,,,24.0,81.0,3.0,0.9056,75.1,0.5115,0.0,8.0,5.0,0.5221,2.69,1931.0,6.36,3.07,,16.0,6.55,0.161,0.1059,0.6042,-19.5,,28.5,74.0,18.1,3.01,96.3,320.0,0.9138,74.4,35.8,2.98,62.7,0.0,,0.2338,7.2,0.2877,,0.1699,17.2,15.42,,0.1064,,93.87
115599,TRAIN_115599,WH_272,SC_00693,11.0,42.0,7.91,0.0909,,0.0,0.1996,3,21,0,0.125,81.43,,64.35,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0769,0.063,2.461258848212302,23.17,60.6,2.0,-0.3,24.3,16.1,800.0,65.9,0.7988,0.0099,27.0,796.0,5.0,50.0,0.0,-63.6,37.5,,72.4,1.0,0.9274,51.9,0.5707,,20.0,0.0,,2.69,1054.0,3.51,2.95,,5.0,13.21,,,0.1244,-15.6,7.67,32.0,73.5,41.9,8.55,,276.0,0.9012,66.9,10.2,2.36,65.8,5.16,0.718,0.9579,9.5,0.1886,5.27,0.0821,17.1,2.25,80.7,0.127,2.08,93.5
30473,TRAIN_030473,WH_269,SC_03122,,53.0,1.55,0.0182,,0.1091,0.3545,11,39,2,0.2115,80.78,0.0,,15.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.2292,,5.05914756475725,28.81,,3.0,7.7,25.6,3.1,800.0,50.0,1.0,0.0,,643.0,5.0,77.0,0.0453,-75.8,1.0,69.0,73.7,2.0,,,0.3508,17.0,32.0,2.0,0.3657,2.52,1569.0,5.81,1.89,,13.0,,0.2407,0.2852,0.1304,-5.7,2.24,,72.2,34.5,9.26,84.3,151.0,0.8959,72.3,,1.64,71.3,5.29,0.5902,,6.17,0.0793,3.67,0.2189,,1.52,84.2,0.0408,5.3,99.11
62550,TRAIN_062550,WH_086,SC_01903,94.0,96.0,,0.0319,0.2128,0.0,,12,28,0,0.3,42.05,0.0,63.14,15.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.4178,0.032,1.305967488734601,25.23,59.8,0.0,13.3,38.0,0.0,381.0,53.2,,0.0356,12.8,498.0,16.9,500.0,0.0128,-38.7,19.2,25.0,60.6,16.0,0.9523,92.8,0.4918,6.0,15.0,6.0,0.4588,2.58,1603.0,7.45,0.78,,4.0,3.52,0.2027,0.004,0.4708,-5.5,5.19,18.3,91.0,24.4,11.24,93.1,320.0,0.8673,86.0,44.2,1.86,80.4,1.63,0.9125,0.8008,,0.2756,2.18,0.127,,1.0,93.3,0.0528,7.21,
106043,TRAIN_106043,WH_110,SC_06477,73.0,57.0,2.11,0.0411,0.0411,0.0548,,13,37,2,0.25,34.04,0.0,55.56,18.73,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.065,6.270140998213457,19.45,63.8,0.0,,49.4,27.3,394.0,76.6,0.9322,0.0658,35.6,803.0,,328.0,0.046,-35.7,39.8,69.0,70.0,16.0,,73.6,0.3879,17.0,29.0,1.0,0.6386,,1148.0,2.93,1.97,,13.0,,0.33,0.0201,0.1864,-13.3,2.74,,,2.2,9.52,88.3,,0.8629,78.8,8.2,0.94,73.5,3.15,0.6945,0.6189,10.41,0.3306,7.54,0.1757,23.1,3.64,83.3,,6.8,96.49
217036,TRAIN_217036,WH_265,SC_08109,,92.0,1.37,0.0674,0.3371,0.1742,0.4637,10,0,25,0.2857,,0.0,32.81,,0.5429,7.0,,24.3,,1.0,2.0,0.0,0.0,0.1099,0.0324,0.1172,59.69604222421436,27.12,24.6,,10.6,41.1,24.4,714.0,56.4,0.6891,0.0496,30.0,400.0,41.4,,0.05,,14.2,28.0,83.5,8.0,0.978,85.5,0.127,4.0,35.0,,0.8238,1.75,,4.79,1.49,0.7764,23.0,9.01,0.2439,0.0036,0.344,0.3,3.76,31.3,65.9,33.5,4.1,,287.0,0.8731,96.7,30.9,2.96,73.6,2.21,0.68,0.6353,4.96,0.3413,,0.1196,0.4,8.67,83.1,0.0816,6.88,
34999,TRAIN_034999,WH_159,SC_07090,,500.0,7.38,0.093,0.1163,0.0174,0.4682,6,0,14,0.3,,0.0,33.06,22.99,0.5,0.0,0.0,20.35,0.3,0.0,,,1.0,,0.1333,,88.80807461067226,24.9,63.2,5.0,25.1,18.9,8.4,,74.0,,0.0964,98.6,873.0,80.0,,0.0286,-53.6,,99.0,,,0.9592,,0.0419,11.0,13.0,4.0,0.334,2.66,2643.0,4.74,2.35,0.7734,9.0,16.63,0.1867,0.1375,0.6288,-21.7,2.27,23.9,,49.5,7.59,91.4,298.0,0.9456,86.3,18.2,1.36,84.4,3.13,0.706,0.8822,6.83,0.135,5.48,,,13.35,94.6,0.0388,8.62,93.5
32268,TRAIN_032268,WH_035,SC_02617,51.0,29.0,,0.0196,0.1765,0.1961,0.3856,9,54,0,0.1429,54.26,,61.52,15.51,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0318,5.071033128327942,25.9,67.2,3.0,,21.6,25.2,388.0,63.9,0.4715,0.0904,,415.0,,238.0,0.0392,-30.0,40.9,63.0,,2.0,,100.0,0.7787,5.0,34.0,2.0,0.2484,1.34,,7.63,2.64,0.9729,10.0,11.17,0.2892,0.1053,0.639,-8.1,5.83,34.0,74.4,,4.55,80.6,94.0,0.9385,95.4,31.9,0.06,71.1,3.07,0.9105,0.9698,7.64,0.2142,5.39,0.1928,18.6,1.83,94.3,0.1098,0.0,98.78
27962,TRAIN_027962,WH_191,SC_09343,334.0,367.0,4.45,0.1677,,0.2814,0.7091,11,3,44,0.1897,41.57,0.0,26.29,30.0,0.6379,30.0,9.0,13.91,0.069,1.0,2.0,1.0,,0.0,0.2188,0.104,17.537569479238943,30.0,,1.0,,20.5,5.9,,60.9,0.3739,0.0386,18.3,808.0,59.2,112.0,,-72.8,39.6,36.0,89.3,,0.9077,50.0,0.4108,21.0,22.0,6.0,0.4463,,3461.0,10.45,4.32,0.7684,,9.99,0.1861,0.1583,0.9176,-2.4,3.9,27.6,73.4,9.8,4.26,82.0,361.0,0.9519,86.5,39.8,0.21,89.3,0.8,0.7478,0.465,7.07,0.2904,3.68,0.1655,,,,0.0878,4.58,92.08
145194,TRAIN_145194,WH_140,SC_05911,60.0,55.0,1.6,0.0833,0.1,0.0833,0.4022,12,22,3,0.3243,67.22,0.0,51.73,17.63,0.027,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0666,24.50584655665063,28.29,51.7,2.0,30.9,1.5,0.0,615.0,88.8,0.736,0.1196,86.6,447.0,,,0.0,-36.2,25.5,42.0,93.1,5.0,0.9392,87.3,0.6345,18.0,27.0,4.0,0.1177,,1022.0,9.35,,0.643,,6.66,,0.176,0.3215,-7.1,0.61,16.7,87.5,42.4,7.52,81.1,50.0,0.9111,,13.5,1.51,81.3,4.62,,0.7057,6.02,0.3916,5.16,0.1282,,9.06,82.3,0.0303,3.11,95.18
18427,TRAIN_018427,WH_251,SC_04963,27.0,58.0,3.0,0.0,0.1111,,0.2236,7,56,0,0.1111,84.8,0.0,67.95,18.03,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0939,0.1888,0.0719,8.654558423054205,25.54,74.6,1.0,17.7,38.5,,,59.2,0.9596,0.1095,,1200.0,67.2,216.0,0.0116,-64.1,37.3,65.0,75.2,8.0,0.9176,81.1,0.2539,6.0,11.0,3.0,0.6054,1.84,500.0,,2.9,,3.0,12.26,0.1362,,0.2391,-16.6,6.18,28.7,93.3,28.2,8.76,94.5,219.0,0.9225,68.9,10.7,0.6,63.7,1.45,0.3994,0.8137,4.61,0.1197,,0.1935,,,98.7,0.0787,5.58,98.69
48857,TRAIN_048857,WH_291,SC_06824,2.0,1.0,1.5,0.0,0.0,0.0,0.2585,1,69,0,0.0143,122.32,0.0,63.1,17.07,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0129,0.0714,0.0691,0.0,30.0,20.0,3.0,32.6,26.5,22.6,753.0,73.2,0.2549,,0.0,407.0,22.2,232.0,0.0268,-79.7,,111.0,98.0,,0.9014,98.5,0.8048,6.0,26.0,1.0,0.55,1.8,2651.0,4.31,1.15,0.982,8.0,11.28,0.2308,,0.2286,-7.3,5.4,34.0,85.7,38.7,,88.3,207.0,0.9476,78.1,36.5,,60.3,6.0,0.3965,0.4026,4.72,0.2705,3.29,0.2064,9.1,13.46,93.6,0.0722,0.67,95.94
199566,TRAIN_199566,WH_225,SC_09755,229.0,,1.34,0.345,,0.2533,,8,0,10,0.4444,27.24,0.0,59.87,27.68,0.1111,,0.0,10.27,0.1667,0.0,1.0,1.0,,0.0,0.3556,0.0576,54.30873344765961,27.99,37.9,1.0,17.9,49.1,0.8,704.0,65.7,,0.0783,,612.0,58.6,199.0,0.0049,-80.0,,89.0,,11.0,0.9305,83.1,0.6608,17.0,35.0,8.0,0.8768,1.14,2874.0,,4.0,0.8276,10.0,1.13,,,0.8228,-9.6,2.95,,71.4,28.7,,80.2,320.0,0.9139,94.0,21.0,3.21,74.3,,,0.6193,4.1,0.3478,7.16,0.1492,13.1,13.44,87.0,0.0404,1.74,93.85
49239,TRAIN_049239,WH_265,SC_08113,19.0,71.0,6.95,0.0,0.0526,0.0,0.2884,4,31,0,0.1143,50.56,0.0,63.2,14.28,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.079,0.0714,0.0557,5.347746754200912,21.87,37.6,3.0,-3.9,21.8,5.1,,70.7,0.4337,,0.0,1057.0,5.0,408.0,0.0201,-80.0,50.0,61.0,,,0.9678,62.7,0.6568,8.0,,2.0,0.1053,1.43,222.0,1.66,2.79,0.8444,16.0,,0.3311,0.2596,0.444,,6.5,31.8,,29.8,10.15,,110.0,0.953,88.7,31.4,0.49,64.4,3.17,0.5329,0.7661,9.98,0.3496,3.7,0.126,13.2,10.66,93.9,0.115,2.33,95.06
